"ID";"EconomicSectorsSIC2008";"Regions";"Periods";"GDPVolumeChanges_1"
"132";"T001081   ";"PV20    ";"1996JJ00";"     9.3"
"133";"T001081   ";"PV20    ";"1997JJ00";"    -2.0"
"134";"T001081   ";"PV20    ";"1998JJ00";"    -0.9"
"135";"T001081   ";"PV20    ";"1999JJ00";"    -0.7"
"136";"T001081   ";"PV20    ";"2000JJ00";"     1.5"
"137";"T001081   ";"PV20    ";"2001JJ00";"     3.9"
"138";"T001081   ";"PV20    ";"2002JJ00";"     2.1"
"139";"T001081   ";"PV20    ";"2003JJ00";"     2.3"
"140";"T001081   ";"PV20    ";"2004JJ00";"     2.2"
"141";"T001081   ";"PV20    ";"2005JJ00";"    -0.7"
"142";"T001081   ";"PV20    ";"2006JJ00";"     1.1"
"143";"T001081   ";"PV20    ";"2007JJ00";"    -2.1"
"144";"T001081   ";"PV20    ";"2008JJ00";"     8.7"
"145";"T001081   ";"PV20    ";"2009JJ00";"    -4.2"
"146";"T001081   ";"PV20    ";"2010JJ00";"    10.4"
"147";"T001081   ";"PV20    ";"2011JJ00";"    -2.9"
"148";"T001081   ";"PV20    ";"2012JJ00";"    -0.5"
"149";"T001081   ";"PV20    ";"2013JJ00";"     5.7"
"150";"T001081   ";"PV20    ";"2014JJ00";"    -7.6"
"151";"T001081   ";"PV20    ";"2015JJ00";"    -8.3"
"152";"T001081   ";"PV20    ";"2016JJ00";"    -1.8"
"153";"T001081   ";"PV20    ";"2017JJ00";"    -0.6"
"154";"T001081   ";"PV21    ";"1996JJ00";"     2.6"
"155";"T001081   ";"PV21    ";"1997JJ00";"     2.6"
"156";"T001081   ";"PV21    ";"1998JJ00";"     6.8"
"157";"T001081   ";"PV21    ";"1999JJ00";"     3.0"
"158";"T001081   ";"PV21    ";"2000JJ00";"     3.4"
"159";"T001081   ";"PV21    ";"2001JJ00";"     2.5"
"160";"T001081   ";"PV21    ";"2002JJ00";"    -1.9"
"161";"T001081   ";"PV21    ";"2003JJ00";"     1.1"
"162";"T001081   ";"PV21    ";"2004JJ00";"     0.0"
"163";"T001081   ";"PV21    ";"2005JJ00";"     2.3"
"164";"T001081   ";"PV21    ";"2006JJ00";"     2.4"
"165";"T001081   ";"PV21    ";"2007JJ00";"     4.8"
"166";"T001081   ";"PV21    ";"2008JJ00";"     0.5"
"167";"T001081   ";"PV21    ";"2009JJ00";"    -2.2"
"168";"T001081   ";"PV21    ";"2010JJ00";"     0.2"
"169";"T001081   ";"PV21    ";"2011JJ00";"     3.7"
"170";"T001081   ";"PV21    ";"2012JJ00";"    -2.6"
"171";"T001081   ";"PV21    ";"2013JJ00";"    -1.9"
"172";"T001081   ";"PV21    ";"2014JJ00";"     0.9"
"173";"T001081   ";"PV21    ";"2015JJ00";"     1.2"
"174";"T001081   ";"PV21    ";"2016JJ00";"     1.6"
"175";"T001081   ";"PV21    ";"2017JJ00";"     2.3"
"176";"T001081   ";"PV22    ";"1996JJ00";"     2.2"
"177";"T001081   ";"PV22    ";"1997JJ00";"     2.0"
"178";"T001081   ";"PV22    ";"1998JJ00";"     2.4"
"179";"T001081   ";"PV22    ";"1999JJ00";"     2.7"
"180";"T001081   ";"PV22    ";"2000JJ00";"     2.2"
"181";"T001081   ";"PV22    ";"2001JJ00";"     2.1"
"182";"T001081   ";"PV22    ";"2002JJ00";"     0.8"
"183";"T001081   ";"PV22    ";"2003JJ00";"    -0.6"
"184";"T001081   ";"PV22    ";"2004JJ00";"    -0.5"
"185";"T001081   ";"PV22    ";"2005JJ00";"     2.8"
"186";"T001081   ";"PV22    ";"2006JJ00";"     0.8"
"187";"T001081   ";"PV22    ";"2007JJ00";"     5.2"
"188";"T001081   ";"PV22    ";"2008JJ00";"     0.5"
"189";"T001081   ";"PV22    ";"2009JJ00";"    -4.4"
"190";"T001081   ";"PV22    ";"2010JJ00";"    -1.2"
"191";"T001081   ";"PV22    ";"2011JJ00";"     1.2"
"192";"T001081   ";"PV22    ";"2012JJ00";"    -1.5"
"193";"T001081   ";"PV22    ";"2013JJ00";"    -1.5"
"194";"T001081   ";"PV22    ";"2014JJ00";"     2.2"
"195";"T001081   ";"PV22    ";"2015JJ00";"     1.2"
"196";"T001081   ";"PV22    ";"2016JJ00";"     2.0"
"197";"T001081   ";"PV22    ";"2017JJ00";"     2.4"
"198";"T001081   ";"PV23    ";"1996JJ00";"     3.1"
"199";"T001081   ";"PV23    ";"1997JJ00";"     2.7"
"200";"T001081   ";"PV23    ";"1998JJ00";"     4.3"
"201";"T001081   ";"PV23    ";"1999JJ00";"     5.4"
"202";"T001081   ";"PV23    ";"2000JJ00";"     4.9"
"203";"T001081   ";"PV23    ";"2001JJ00";"     2.5"
"204";"T001081   ";"PV23    ";"2002JJ00";"    -0.8"
"205";"T001081   ";"PV23    ";"2003JJ00";"     0.9"
"206";"T001081   ";"PV23    ";"2004JJ00";"     1.4"
"207";"T001081   ";"PV23    ";"2005JJ00";"     2.6"
"208";"T001081   ";"PV23    ";"2006JJ00";"     3.1"
"209";"T001081   ";"PV23    ";"2007JJ00";"     4.1"
"210";"T001081   ";"PV23    ";"2008JJ00";"     3.5"
"211";"T001081   ";"PV23    ";"2009JJ00";"    -2.0"
"212";"T001081   ";"PV23    ";"2010JJ00";"    -0.1"
"213";"T001081   ";"PV23    ";"2011JJ00";"     3.3"
"214";"T001081   ";"PV23    ";"2012JJ00";"    -3.4"
"215";"T001081   ";"PV23    ";"2013JJ00";"    -1.1"
"216";"T001081   ";"PV23    ";"2014JJ00";"     1.4"
"217";"T001081   ";"PV23    ";"2015JJ00";"     2.8"
"218";"T001081   ";"PV23    ";"2016JJ00";"     2.7"
"219";"T001081   ";"PV23    ";"2017JJ00";"     3.4"
"220";"T001081   ";"PV24    ";"1996JJ00";"     3.3"
"221";"T001081   ";"PV24    ";"1997JJ00";"     8.2"
"222";"T001081   ";"PV24    ";"1998JJ00";"     7.5"
"223";"T001081   ";"PV24    ";"1999JJ00";"    11.4"
"224";"T001081   ";"PV24    ";"2000JJ00";"     5.3"
"225";"T001081   ";"PV24    ";"2001JJ00";"     6.4"
"226";"T001081   ";"PV24    ";"2002JJ00";"     2.0"
"227";"T001081   ";"PV24    ";"2003JJ00";"     7.0"
"228";"T001081   ";"PV24    ";"2004JJ00";"     3.4"
"229";"T001081   ";"PV24    ";"2005JJ00";"     3.6"
"230";"T001081   ";"PV24    ";"2006JJ00";"     8.6"
"231";"T001081   ";"PV24    ";"2007JJ00";"     4.7"
"232";"T001081   ";"PV24    ";"2008JJ00";"    -0.8"
"233";"T001081   ";"PV24    ";"2009JJ00";"    -5.4"
"234";"T001081   ";"PV24    ";"2010JJ00";"     3.2"
"235";"T001081   ";"PV24    ";"2011JJ00";"     2.0"
"236";"T001081   ";"PV24    ";"2012JJ00";"    -1.0"
"237";"T001081   ";"PV24    ";"2013JJ00";"    -2.6"
"238";"T001081   ";"PV24    ";"2014JJ00";"     3.0"
"239";"T001081   ";"PV24    ";"2015JJ00";"     2.9"
"240";"T001081   ";"PV24    ";"2016JJ00";"     2.6"
"241";"T001081   ";"PV24    ";"2017JJ00";"     4.2"
"242";"T001081   ";"PV25    ";"1996JJ00";"     2.9"
"243";"T001081   ";"PV25    ";"1997JJ00";"     5.1"
"244";"T001081   ";"PV25    ";"1998JJ00";"     4.3"
"245";"T001081   ";"PV25    ";"1999JJ00";"     3.9"
"246";"T001081   ";"PV25    ";"2000JJ00";"     4.5"
"247";"T001081   ";"PV25    ";"2001JJ00";"     2.6"
"248";"T001081   ";"PV25    ";"2002JJ00";"    -0.6"
"249";"T001081   ";"PV25    ";"2003JJ00";"     0.6"
"250";"T001081   ";"PV25    ";"2004JJ00";"     0.9"
"251";"T001081   ";"PV25    ";"2005JJ00";"     1.8"
"252";"T001081   ";"PV25    ";"2006JJ00";"     5.2"
"253";"T001081   ";"PV25    ";"2007JJ00";"     3.2"
"254";"T001081   ";"PV25    ";"2008JJ00";"     1.8"
"255";"T001081   ";"PV25    ";"2009JJ00";"    -2.3"
"256";"T001081   ";"PV25    ";"2010JJ00";"    -0.2"
"257";"T001081   ";"PV25    ";"2011JJ00";"     3.6"
"258";"T001081   ";"PV25    ";"2012JJ00";"    -2.6"
"259";"T001081   ";"PV25    ";"2013JJ00";"    -1.3"
"260";"T001081   ";"PV25    ";"2014JJ00";"     1.6"
"261";"T001081   ";"PV25    ";"2015JJ00";"     2.4"
"262";"T001081   ";"PV25    ";"2016JJ00";"     2.3"
"263";"T001081   ";"PV25    ";"2017JJ00";"     3.2"
"264";"T001081   ";"PV26    ";"1996JJ00";"     5.3"
"265";"T001081   ";"PV26    ";"1997JJ00";"     3.8"
"266";"T001081   ";"PV26    ";"1998JJ00";"     8.0"
"267";"T001081   ";"PV26    ";"1999JJ00";"     7.7"
"268";"T001081   ";"PV26    ";"2000JJ00";"     3.8"
