"ID";"Sex";"Regions";"Periods";"LiveBornChildren_3";"NetMigrationIncludingAdministrative_17"
"305";"T001038";"PV20  ";"1960JJ00";"    8868";"   -1748"
"306";"T001038";"PV20  ";"1961JJ00";"    9062";"   -1087"
"307";"T001038";"PV20  ";"1962JJ00";"    9165";"    -623"
"308";"T001038";"PV20  ";"1963JJ00";"    9518";"     547"
"309";"T001038";"PV20  ";"1964JJ00";"    9671";"     305"
"310";"T001038";"PV20  ";"1965JJ00";"    9632";"    -148"
"311";"T001038";"PV20  ";"1966JJ00";"    9558";"     667"
"312";"T001038";"PV20  ";"1967JJ00";"    9707";"   -1617"
"313";"T001038";"PV20  ";"1968JJ00";"    9366";"   -2358"
"314";"T001038";"PV20  ";"1969JJ00";"   10088";"   -1952"
"315";"T001038";"PV20  ";"1970JJ00";"    9774";"     196"
"316";"T001038";"PV20  ";"1971JJ00";"    9219";"    -203"
"317";"T001038";"PV20  ";"1972JJ00";"    8895";"    -200"
"318";"T001038";"PV20  ";"1973JJ00";"    7776";"    -673"
"319";"T001038";"PV20  ";"1974JJ00";"    7341";"     921"
"320";"T001038";"PV20  ";"1975JJ00";"    6952";"    1751"
"321";"T001038";"PV20  ";"1976JJ00";"    6862";"    2372"
"322";"T001038";"PV20  ";"1977JJ00";"    6624";"    1764"
"323";"T001038";"PV20  ";"1978JJ00";"    6716";"    1924"
"324";"T001038";"PV20  ";"1979JJ00";"    6644";"     793"
"325";"T001038";"PV20  ";"1980JJ00";"    6898";"    1321"
"326";"T001038";"PV20  ";"1981JJ00";"    6730";"     531"
"327";"T001038";"PV20  ";"1982JJ00";"    6648";"      75"
"328";"T001038";"PV20  ";"1983JJ00";"    6449";"    -686"
"329";"T001038";"PV20  ";"1984JJ00";"    6366";"   -1665"
"330";"T001038";"PV20  ";"1985JJ00";"    6537";"   -2203"
"331";"T001038";"PV20  ";"1986JJ00";"    6551";"   -2835"
"332";"T001038";"PV20  ";"1987JJ00";"    6515";"   -2789"
"333";"T001038";"PV20  ";"1988JJ00";"    6298";"   -2743"
