,wijk,stadsdeel,year,woz-waarde
0,Burgwallen-Oude Zijde,Centrum,2014,263417.0
1,Burgwallen-Nieuwe Zijde,Centrum,2014,267895.0
2,Grachtengordel-West,Centrum,2014,490251.0
3,Grachtengordel-Zuid,Centrum,2014,469946.0
4,Nieuwmarkt/Lastage,Centrum,2014,295239.0
5,Haarlemmerbuurt,Centrum,2014,304924.0
6,Jordaan,Centrum,2014,270390.0
7,De Weteringschans,Centrum,2014,344649.0
8,Weesperbuurt/Plantage,Centrum,2014,307440.0
9,Oostelijke Eilanden/Kadijken,Centrum,2014,253990.0
10,Westelijk Havengebied,Westpoort,2014,
11,Houthavens,West,2014,164263.0
12,Spaarndammer- en Zeeheldenbuurt,West,2014,207439.0
13,Staatsliedenbuurt,West,2014,209792.0
14,Centrale Markt,West,2014,259527.0
15,Frederik Hendrikbuurt,West,2014,220547.0
16,Da Costabuurt,West,2014,265643.0
17,Kinkerbuurt,West,2014,217788.0
18,Van Lennepbuurt,West,2014,211354.0
19,Helmersbuurt,West,2014,308715.0
20,Overtoomse Sluis,West,2014,270056.0
21,Vondelbuurt,West,2014,564043.0
22,Sloterdijk,West,2014,306402.0
23,Landlust,West,2014,176998.0
24,Erasmuspark,West,2014,172560.0
25,De Kolenkit,West,2014,173068.0
26,Geuzenbuurt,West,2014,209517.0
27,Van Galenbuurt,West,2014,174317.0
28,Hoofdweg eo,West,2014,176288.0
29,Westindische Buurt,West,2014,218186.0
30,Chassébuurt,West,2014,209517.0
31,Bedrijventerrein Sloterdijk,Nieuw-West,2014,
32,Slotermeer-Noordoost,Nieuw-West,2014,143152.0
33,Slotermeer-Zuidwest,Nieuw-West,2014,141387.0
34,Geuzenveld,Nieuw-West,2014,165329.0
35,Eendracht,Nieuw-West,2014,230608.0
36,Lutkemeer/Ookmeer,Nieuw-West,2014,374106.0
37,Osdorp-Oost,Nieuw-West,2014,166038.0
38,Osdorp-Midden,Nieuw-West,2014,180221.0
39,De Punt,Nieuw-West,2014,154635.0
40,Middelveldsche Akerpolder,Nieuw-West,2014,260400.0
41,Slotervaart-Noord,Nieuw-West,2014,182114.0
42,Overtoomse Veld,Nieuw-West,2014,176233.0
43,Westlandgracht,Nieuw-West,2014,200633.0
44,Sloter-/Riekerpolder,Nieuw-West,2014,249379.0
45,Slotervaart-Zuid,Nieuw-West,2014,182114.0
46,Zuidas,Zuid,2014,
47,Oude Pijp,Zuid,2014,245656.0
48,Nieuwe Pijp,Zuid,2014,232579.0
49,Zuid-Pijp,Zuid,2014,225636.0
50,Hoofddorppleinbuurt,Zuid,2014,234229.0
51,Schinkelbuurt,Zuid,2014,240864.0
52,Willemspark,Zuid,2014,590989.0
53,Museumkwartier,Zuid,2014,591914.0
54,Stadionbuurt,Zuid,2014,271540.0
55,Apollobuurt,Zuid,2014,664230.0
56,Scheldebuurt,Zuid,2014,304350.0
57,IJselbuurt,Zuid,2014,239304.0
58,Rijnbuurt,Zuid,2014,230354.0
59,Prinses Irenebuurt eo,Zuid,2014,509680.0
60,Buitenveldert-West,Zuid,2014,254225.0
61,Buitenveldert-Oost,Zuid,2014,238302.0
